"Month";"Percent";"Status"
"Jan";080,295;"+"
"Feb";083,117;"+"
"Mar";094,994;"+"
"Apr";097,129;"+"
"May";095,413;"+"
"Jun";092,448;"+"
"Jul";093,837;"+"
"Dec";047,996;"+"
"Jan";012,607;"-"
"Feb";009,510;"-"
"Mar";001,243;"-"
"Apr";000,706;"-"
"May";000,334;"-"
"Jun";000,851;"-"
"Jul";002,048;"-"
"Dec";041,693;"-"
"Jan";007,027;"<"
"Feb";007,163;"<"
"Mar";003,665;"<"
"Apr";002,026;"<"
"May";002,819;"<"
"Jun";003,302;"<"
"Jul";002,414;"<"
"Dec";010,023;"<"
"Jan";000,072;"!"
"Feb";000,211;"!"
"Mar";000,099;"!"
"Apr";000,138;"!"
"May";001,434;"!"
"Jun";003,399;"!"
"Jul";001,701;"!"
"Dec";000,288;"!"
