"Week Day";"Percent";"Status"
"Mon";086,563;"+"
"Tue";088,037;"+"
"Wed";089,035;"+"
"Thu";089,062;"+"
"Fri";087,013;"+"
"Sat";086,287;"+"
"Sun";084,296;"+"
"Mon";006,526;"-"
"Tue";006,572;"-"
"Wed";004,790;"-"
"Thu";006,094;"-"
"Fri";008,343;"-"
"Sat";008,616;"-"
"Sun";009,614;"-"
"Mon";005,571;"<"
"Tue";004,460;"<"
"Wed";005,519;"<"
"Thu";004,228;"<"
"Fri";003,661;"<"
"Sat";004,144;"<"
"Sun";005,137;"<"
"Mon";001,341;"!"
"Tue";000,931;"!"
"Wed";000,655;"!"
"Thu";000,616;"!"
"Fri";000,982;"!"
"Sat";000,953;"!"
"Sun";000,953;"!"
